file,offboard_rows_total,offboard_last5s_rows,eval_rows,fresh_ratio,max_stale_s,rmse_x,rmse_y,rmse_z,rmse_yaw,rmse_xy,p95_abs_x,p95_abs_y,p95_abs_z,p95_abs_yaw,p95_xy,cmd_jitter_x,cmd_jitter_y,cmd_jitter_xy,cmd_jitter_yaw,window_t_start,window_t_end
"3.13/kpxy=0.8,kdxy=0.05.csv",1140,151,151,1.0,0.0,0.05392429502586529,0.03686797471156181,2.589273066881761,0.029995014258216976,0.06532286853291829,0.10446984207508146,0.07974716276198916,2.6950708603911395,0.04507735775273021,0.10567997679866974,0.005747733906219461,0.009065752763766702,0.01073425909089437,0.028985275139396992,1773395118.194941,1773395123.194941
"3.13/kpxy=1.0,kdxy=0.05.csv",1619,151,151,1.0,0.0,0.04819940853274442,0.05086495147777315,3.0972310711771316,0.021597620302657026,0.07007443379537655,0.08931288162462002,0.09643276480269775,3.192640988340813,0.04035746465836595,0.09867450126581422,0.017300725257775693,0.017452720915458905,0.022603943251669794,0.04067147634361057,1773395520.197448,1773395525.197448
3.15/pid_tuning_xy_fine_20260315_101843.csv,1200,151,151,1.0,0.0,0.057682475406093184,0.052291384174374,2.5073163053206162,0.049360998533463256,0.07785664279845696,0.1056196827586094,0.10002553536896276,2.6003753985294313,0.08880748040019067,0.10588016992678172,0.007078486322489502,0.007003881729214069,0.00913855597541708,0.022017556888062628,1773541184.7778995,1773541189.7778995
3.13/2.csv,1889,150,150,1.0,0.0,0.05842847778868191,0.051687044588492104,1.3544086610113537,0.029699738686131613,0.07800921480822162,0.09280148308062774,0.07581797528726539,1.5564409039092029,0.05666855381393069,0.11754905790774181,0.02148697287476027,0.024360079758382197,0.030766584414959393,0.05318099595466805,1773394136.3843105,1773394141.3843105
3.14/pid_tuning_xy_fine_20260314_171800.csv,1134,149,149,1.0,0.0,0.04858584922190611,0.06618969526026627,2.461956662321289,0.033141735869740827,0.08210761537921263,0.09284567774625173,0.13833555737467712,2.4831671872563597,0.0632471918778064,0.13844509273547959,0.010488983871985628,0.013029111292923811,0.011415253055136555,0.021596026248159518,1773479931.8676257,1773479936.8676257
3.15/pid_tuning_xy_fine_20260315_101618.csv,1351,150,150,1.0,0.0,0.07075567638030561,0.049376924677039434,2.4959305165764962,0.010754347410199459,0.08628120554672705,0.12913008558175457,0.08051463129714272,2.564443009457443,0.017681368904767267,0.12953939273587978,0.0065092305961425125,0.0046967501524792345,0.0069471013154077926,0.0,1773541045.8199282,1773541050.8199282
3.14/pid_tuning_xy_fine_20260314_171359.csv,808,151,151,1.0,0.0,0.05332238542924273,0.07288438840285753,2.5966253977698455,0.01627956417066256,0.09030731343985,0.09812126297723549,0.12360791774696257,2.6707571670183863,0.027506435777481002,0.15095006308738762,0.013478961384863998,0.017372803216920904,0.01769616742468964,0.01579874820400833,1773479700.988007,1773479705.988007
3.15/pid_tuning_xy_fine_20260315_094937.csv,1410,151,151,1.0,0.0,0.04731155179159576,0.08231868093790384,2.509269240960531,0.05432873047869052,0.09494602763826016,0.07308584730431598,0.1365471503540914,2.5357275132660155,0.09630252669724522,0.1486286981083048,0.01256684511926521,0.014091979614998168,0.015174824353398661,0.021838446003076994,1773539444.7234755,1773539449.7234755
3.15/pid_tuning_xy_fine_20260315_100838.csv,1378,151,151,1.0,0.0,0.07879816329260926,0.06188743385430264,2.5012991549774157,0.029910563387501487,0.10019583328342249,0.13340011944718622,0.11072883238614611,2.5329029610340004,0.048207335640332395,0.13396500886909146,0.006282523395699852,0.006730847432886856,0.005708817453929675,0.0148649415884174,1773540588.7432842,1773540593.7432842
"3.13/kpxy=1.0,kdxy=0.05,kdyaw=0.05.csv",1590,151,151,1.0,0.0,0.051755334427539705,0.08709954070867823,1.9657242041551157,0.043829589886617885,0.10131606305699586,0.10478775665518501,0.13801326839099232,2.0432993558001806,0.07644544901601773,0.1442758385616768,0.013910845195065795,0.01756467646894993,0.01634708470408286,0.025104398906957877,1773395667.2017038,1773395672.2017038
