file	samples	abs_rot_deg	net_rot_deg	r_start	r_end	r_shrink	tan_ratio	mean_abs_vt	mean_abs_vr	vr_flip_rate	kp_x	ki_x	kd_x	kp_y	ki_y	kd_y	kp_yaw	ki_yaw	kd_yaw	circle_score
pid_tuning_xy_fine_20260315_101340.csv	1620	3776.851741613946	22.275706924369462	0.20545383133191528	0.21458284545878617	-0.009129014126870894	0.11774388564379072	0.01247487411702185	0.10594823081409041	0.0012353304508956147	0.6	0.02	0.03	0.6	0.02	0.03	0.6	0.02	0.03	12.108998723460306
pid_tuning_xy_fine_20260315_093947.csv	1554	4194.9695392690355	89.94363780654393	0.5193852068053374	0.12459247928072911	0.39479272752460826	0.07622676598092823	0.01654575620549813	0.21705866391959805	0.0	0.85	0.0	0.05	0.85	0.0	0.05	0.9	0.0	0.05	11.728919930617138
pid_tuning_xy_fine_20260315_095148.csv	1500	3522.521997827959	28.478598696839356	0.29083463110856106	0.09694293418242728	0.19389169692613378	0.08885138759091431	0.011533806892399237	0.12980909306801924	0.0	0.85	0.0	0.05	0.85	0.0	0.05	0.6	0.0	0.05	9.8736347148908
pid_tuning_xy_fine_20260315_094937.csv	1410	3311.5304036523153	10.518321445960172	0.28332959244888584	0.08713070363062193	0.19619888881826392	0.08662689777154184	0.011375149693865811	0.13131098261151064	0.0	0.85	0.0	0.05	0.85	0.0	0.05	0.6	0.0	0.05	9.285322463472417
pid_tuning_xy_fine_20260315_101056.csv	1740	3296.383234775433	90.74902685514824	0.35260271332368254	0.17230186561078847	0.18030084771289406	0.07877662693069822	0.013540663306479548	0.1718858125490015	0.0011500862564692352	0.6	0.02	0.03	0.6	0.02	0.03	0.6	0.0	0.03	9.235396723529123
pid_tuning_xy_fine_20260315_095446.csv	1328	3013.5548748576607	127.89278360007337	0.32323571004086044	0.11052641425369204	0.2127092957871684	0.07366509557404398	0.016476504104117835	0.22366672181211097	0.0	0.85	0.0	0.05	0.85	0.0	0.05	0.4	0.0	0.05	8.444650859067547
pid_tuning_xy_fine_20260315_101618.csv	1351	2941.8048509183714	145.19579884088276	0.34032738199488116	0.07830977096417932	0.26201761103070187	0.1118034764696323	0.011834882959257182	0.10585333774478144	0.0	0.6	0.02	0.01	0.6	0.02	0.01	0.6	0.02	0.03	8.283483617909551
pid_tuning_xy_fine_20260315_102130.csv	1230	2545.865287716227	69.40926413032749	0.12883454469398414	0.10095333814131316	0.027881206552670984	0.12572828306630487	0.009849660570182779	0.07833985004555737	0.0	0.6	0.02	0.02	0.6	0.02	0.02	0.6	0.02	0.03	8.19757630450027
pid_tuning_xy_fine_20260315_100354.csv	1409	2816.7516638942543	26.215496412438473	0.17861604092625083	0.09665431240254618	0.08196172852370465	0.08836303052648489	0.009163891355415772	0.10370630044924269	0.0	0.6	0.0	0.03	0.6	0.0	0.03	0.6	0.0	0.03	7.912673208010524
pid_tuning_xy_fine_20260315_095709.csv	1530	2657.3714657830324	179.3833026289827	0.31567037452984364	0.17237474741838613	0.14329562711145752	0.09761295883316203	0.011607505342455903	0.1189125692761368	0.0	0.6	0.0	0.05	0.6	0.0	0.05	0.4	0.0	0.05	7.479200363786029
pid_tuning_xy_fine_20260315_100838.csv	1378	2235.4757502413377	77.58389976680532	0.13039932094768622	0.09860585140900645	0.03179346953867977	0.1383712333928546	0.012090670037962646	0.08737749436982038	0.0014524328249818446	0.6	0.02	0.03	0.6	0.02	0.03	0.6	0.0	0.03	7.348026095174348
pid_tuning_xy_fine_20260315_101843.csv	1200	2435.098734250015	156.5810438405121	0.27304962615658057	0.07862822954697404	0.19442139660960653	0.11160538807142999	0.0106789257560694	0.09568367921310972	0.0016680567139282735	0.6	0.02	0.02	0.6	0.02	0.02	0.6	0.02	0.03	6.875768538765915
pid_tuning_xy_fine_20260315_100122.csv	900	2135.4070712315433	150.05540851933728	0.4229276814476735	0.27611422347172465	0.14681345797594886	0.08585263784485367	0.011144950657326243	0.12981388905986263	0.0	0.6	0.0	0.05	0.6	0.0	0.05	0.6	0.0	0.05	6.017538946821363
pid_tuning_xy_fine_20260315_100637.csv	560	1179.5831671996357	146.0548440928375	0.3735823612373714	0.6583137094458322	-0.28473134820846085	0.16998794075206783	0.05088431483976633	0.29933973331697417	0.0	0.6	0.1	0.03	0.6	0.1	0.03	0.6	0.0	0.03	4.946607849639944
