ros_time_sec,mode,armed,connected,aruco_fresh,aruco_age_sec,aruco_x,aruco_y,aruco_z,aruco_yaw_rad,local_pose_fresh,local_pose_age_sec,local_x,local_y,local_z,local_yaw_rad,setpoint_fresh,setpoint_age_sec,sp_frame,sp_type_mask,sp_vx,sp_vy,sp_vz,sp_yaw_rate
1773395601.9016373,,-1,-1,0,1000000000.0,nan,nan,nan,nan,0,1000000000.0,nan,nan,nan,nan,1,0.028180112,8,1479,0.0,-0.0,-0.0,0.0
1773395601.9376075,,-1,-1,0,1000000000.0,nan,nan,nan,nan,0,1000000000.0,nan,nan,nan,nan,1,0.015227227,8,1479,0.0,-0.0,-0.0,0.0
1773395601.969057,,-1,-1,0,1000000000.0,nan,nan,nan,nan,0,1000000000.0,nan,nan,nan,nan,1,0.023205022,8,1479,0.0,-0.0,-0.0,0.0
1773395602.0041828,,-1,-1,0,1000000000.0,nan,nan,nan,nan,0,1000000000.0,nan,nan,nan,nan,1,0.005392066,8,1479,0.0,-0.0,-0.0,0.0
1773395602.0362737,,-1,-1,0,1000000000.0,nan,nan,nan,nan,0,1000000000.0,nan,nan,nan,nan,1,0.029032713,8,1479,0.0,-0.0,-0.0,0.0
1773395602.068202,,-1,-1,0,1000000000.0,nan,nan,nan,nan,0,1000000000.0,nan,nan,nan,nan,1,0.028991046,8,1479,0.0,-0.0,-0.0,0.0
1773395602.1015055,,-1,-1,0,1000000000.0,nan,nan,nan,nan,0,1000000000.0,nan,nan,nan,nan,1,0.029475486,8,1479,0.0,-0.0,-0.0,0.0
1773395602.1351633,,-1,-1,0,1000000000.0,nan,nan,nan,nan,0,1000000000.0,nan,nan,nan,nan,1,0.011504919,8,1479,0.0,-0.0,-0.0,0.0
1773395602.2079616,,-1,-1,0,1000000000.0,nan,nan,nan,nan,0,1000000000.0,nan,nan,nan,nan,1,0.057326082,8,1479,0.0,-0.0,-0.0,0.0
1773395602.2890205,,-1,-1,0,1000000000.0,nan,nan,nan,nan,0,1000000000.0,nan,nan,nan,nan,1,0.053204279,8,1479,0.0,-0.0,-0.0,0.0
1773395602.3062468,,-1,-1,0,1000000000.0,nan,nan,nan,nan,0,1000000000.0,nan,nan,nan,nan,1,0.005836228,8,1479,0.0,-0.0,-0.0,0.0
1773395602.3423166,,-1,-1,0,1000000000.0,nan,nan,nan,nan,0,1000000000.0,nan,nan,nan,nan,1,0.033140498,8,1479,0.0,-0.0,-0.0,0.0
1773395602.3908606,,-1,-1,0,1000000000.0,nan,nan,nan,nan,0,1000000000.0,nan,nan,nan,nan,1,0.001582037,8,1479,0.0,-0.0,-0.0,0.0
1773395602.4283926,,-1,-1,0,1000000000.0,nan,nan,nan,nan,0,1000000000.0,nan,nan,nan,nan,1,0.039077872,8,1479,0.0,-0.0,-0.0,0.0
1773395602.495215,,-1,-1,0,1000000000.0,nan,nan,nan,nan,0,1000000000.0,nan,nan,nan,nan,1,0.063272012,8,1479,0.0,-0.0,-0.0,0.0
1773395602.5368242,,-1,-1,0,1000000000.0,nan,nan,nan,nan,0,1000000000.0,nan,nan,nan,nan,1,0.001308632,8,1479,0.0,-0.0,-0.0,0.0
1773395602.5687227,,-1,-1,0,1000000000.0,nan,nan,nan,nan,0,1000000000.0,nan,nan,nan,nan,1,0.017124131,8,1479,0.0,-0.0,-0.0,0.0
1773395602.6017969,,-1,-1,0,1000000000.0,nan,nan,nan,nan,0,1000000000.0,nan,nan,nan,nan,1,0.025564068,8,1479,0.0,-0.0,-0.0,0.0
1773395602.6370766,,-1,-1,0,1000000000.0,nan,nan,nan,nan,0,1000000000.0,nan,nan,nan,nan,1,0.028930399,8,1479,0.0,-0.0,-0.0,0.0
1773395602.6682465,,-1,-1,0,1000000000.0,nan,nan,nan,nan,0,1000000000.0,nan,nan,nan,nan,1,0.021929464,8,1479,0.0,-0.0,-0.0,0.0
1773395602.7021732,,-1,-1,0,1000000000.0,nan,nan,nan,nan,0,1000000000.0,nan,nan,nan,nan,1,0.010078436,8,1479,0.0,-0.0,-0.0,0.0
1773395602.734713,,-1,-1,0,1000000000.0,nan,nan,nan,nan,0,1000000000.0,nan,nan,nan,nan,1,0.029396079,8,1479,0.0,-0.0,-0.0,0.0
1773395602.7701857,,-1,-1,0,1000000000.0,nan,nan,nan,nan,0,1000000000.0,nan,nan,nan,nan,1,0.002855744,8,1479,0.0,-0.0,-0.0,0.0
1773395602.80145,,-1,-1,0,1000000000.0,nan,nan,nan,nan,0,1000000000.0,nan,nan,nan,nan,1,0.028548792,8,1479,0.0,-0.0,-0.0,0.0
1773395602.8348007,,-1,-1,0,1000000000.0,nan,nan,nan,nan,0,1000000000.0,nan,nan,nan,nan,1,0.021795928,8,1479,0.0,-0.0,-0.0,0.0
