timestamp,aruco_id,x,y,z,roll,pitch,yaw
2026-02-23 21:19:33.473,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 21:19:33.491,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 21:19:33.532,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 21:19:33.571,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 21:19:33.616,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 21:19:33.653,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 21:19:33.733,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 21:19:33.773,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 21:19:33.813,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 21:19:33.853,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 21:19:33.894,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 21:19:34.001,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 21:19:34.100,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 21:19:34.104,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 21:19:34.108,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 21:19:34.255,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 21:19:34.295,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 21:19:34.335,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 21:19:34.377,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 21:19:34.416,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 21:19:34.456,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 21:19:34.496,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 21:19:34.537,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 21:19:34.578,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 21:19:34.617,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 21:19:34.657,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 21:19:34.698,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 21:19:34.777,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
