ros_time_sec,mode,armed,connected,aruco_fresh,aruco_age_sec,aruco_x,aruco_y,aruco_z,aruco_yaw_rad,local_pose_fresh,local_pose_age_sec,local_x,local_y,local_z,local_yaw_rad,setpoint_fresh,setpoint_age_sec,sp_frame,sp_type_mask,sp_vx,sp_vy,sp_vz,sp_yaw_rate,target_x,target_y,target_yaw,target_z,kp_xy,ki_xy,kd_xy,kp_x,ki_x,kd_x,kp_y,ki_y,kd_y,kp_yaw,ki_yaw,kd_yaw,kp_z,ki_z,kd_z,vxy_limit,vz_limit,wz_limit,velocity_deadband,yaw_rate_deadband
1773539687.6110396,,-1,-1,0,1000000000.0,nan,nan,nan,nan,0,1000000000.0,nan,nan,nan,nan,0,1000000000.0,-1,-1,nan,nan,nan,nan,0.0,0.0,0.0,2.5,0.5,0.0,0.08,0.85,0.0,0.05,0.85,0.0,0.05,0.4,0.0,0.05,0.8,0.0,0.06,0.8,0.5,1.0,0.03,0.03
1773539687.6426399,,-1,-1,1,0.002695204,-0.011333248030569005,0.0033990007720499918,0.15593269042368696,-0.047954969045612215,1,0.001890695,-2.700578451156616,-2.245631456375122,-7.919111728668213,0.0,1,0.001412938,8,1479,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.5,0.0,0.08,0.85,0.0,0.05,0.85,0.0,0.05,0.4,0.0,0.05,0.8,0.0,0.06,0.8,0.5,1.0,0.03,0.03
1773539687.6770613,,-1,-1,1,0.016366751,-0.011326561512687674,0.0035134856580186927,0.1566559482516102,-0.05046726878571195,1,0.001369899,-2.6983532905578613,-2.245107889175415,-7.920945644378662,0.0,1,0.012548007,8,1479,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.5,0.0,0.08,0.85,0.0,0.05,0.85,0.0,0.05,0.4,0.0,0.05,0.8,0.0,0.06,0.8,0.5,1.0,0.03,0.03
1773539687.7105532,,-1,-1,1,0.0231818,-0.011326561512687674,0.0035134856580186927,0.1566559482516102,-0.05046726878571195,1,0.00521142,-2.6983141899108887,-2.245133638381958,-7.921189308166504,0.0,1,0.013304496,8,1479,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.5,0.0,0.08,0.85,0.0,0.05,0.85,0.0,0.05,0.4,0.0,0.05,0.8,0.0,0.06,0.8,0.5,1.0,0.03,0.03
1773539687.7457643,POSCTL,0,1,1,0.02901902,-0.011333248030569005,0.0033990007720499918,0.15593269042368696,-0.047954969045612215,1,0.040892892,-2.6983141899108887,-2.245133638381958,-7.921189308166504,0.0,1,0.014687544,8,1479,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.5,0.0,0.08,0.85,0.0,0.05,0.85,0.0,0.05,0.4,0.0,0.05,0.8,0.0,0.06,0.8,0.5,1.0,0.03,0.03
1773539687.776467,POSCTL,0,1,1,0.007546372,-0.011280472687174876,0.0032950436413680963,0.15651274866259704,-0.0435203993701552,1,0.004714737,-2.698230743408203,-2.2452101707458496,-7.921859264373779,0.0,1,0.011514805,8,1479,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.5,0.0,0.08,0.85,0.0,0.05,0.85,0.0,0.05,0.4,0.0,0.05,0.8,0.0,0.06,0.8,0.5,1.0,0.03,0.03
1773539687.8096263,POSCTL,0,1,1,0.006638933,-0.011256034432258298,0.003473757594047069,0.15651178914173752,-0.048285052871055716,1,0.003927839,-2.6977365016937256,-2.2449967861175537,-7.922105312347412,0.0,1,0.001370714,8,1479,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.5,0.0,0.08,0.85,0.0,0.05,0.85,0.0,0.05,0.4,0.0,0.05,0.8,0.0,0.06,0.8,0.5,1.0,0.03,0.03
1773539687.84701,POSCTL,0,1,1,0.008791304,-0.011266924310497797,0.003369243093724378,0.15585474189209428,-0.04586270058493101,1,0.001233394,-2.6972901821136475,-2.24480938911438,-7.922418594360352,0.0,1,0.017730723,8,1479,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.5,0.0,0.08,0.85,0.0,0.05,0.85,0.0,0.05,0.4,0.0,0.05,0.8,0.0,0.06,0.8,0.5,1.0,0.03,0.03
1773539687.8765144,POSCTL,0,1,1,0.00918102,-0.011256034432258298,0.003473757594047069,0.15651178914173752,-0.048285052871055716,1,0.030938605,-2.6972901821136475,-2.24480938911438,-7.922418594360352,0.0,1,0.011198794,8,1479,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.5,0.0,0.08,0.85,0.0,0.05,0.85,0.0,0.05,0.4,0.0,0.05,0.8,0.0,0.06,0.8,0.5,1.0,0.03,0.03
1773539687.9132419,POSCTL,0,1,1,0.021273512,-0.011266924310497797,0.003369243093724378,0.15585474189209428,-0.04586270058493101,1,0.006576764,-2.696723222732544,-2.244805335998535,-7.922842502593994,0.0,1,0.008613909,8,1479,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.5,0.0,0.08,0.85,0.0,0.05,0.85,0.0,0.05,0.4,0.0,0.05,0.8,0.0,0.06,0.8,0.5,1.0,0.03,0.03
1773539687.9539878,POSCTL,0,1,1,0.03910572,-0.011266924310497797,0.003369243093724378,0.15585474189209428,-0.04586270058493101,1,0.047834039,-2.696723222732544,-2.244805335998535,-7.922842502593994,0.0,1,0.020191326,8,1479,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.5,0.0,0.08,0.85,0.0,0.05,0.85,0.0,0.05,0.4,0.0,0.05,0.8,0.0,0.06,0.8,0.5,1.0,0.03,0.03
1773539687.9787638,POSCTL,0,1,1,0.004232553,-0.011256034432258298,0.003473757594047069,0.15651178914173752,-0.048285052871055716,1,0.019091918,-2.696499824523926,-2.2450296878814697,-7.9229888916015625,0.0,1,0.044692283,8,1479,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.5,0.0,0.08,0.85,0.0,0.05,0.85,0.0,0.05,0.4,0.0,0.05,0.8,0.0,0.06,0.8,0.5,1.0,0.03,0.03
1773539688.0091555,POSCTL,0,1,1,0.003099608,-0.011266924310497797,0.003369243093724378,0.15585474189209428,-0.04586270058493101,1,0.027929836,-2.696303367614746,-2.2452335357666016,-7.9231648445129395,0.0,1,0.009958567,8,1479,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.5,0.0,0.08,0.85,0.0,0.05,0.85,0.0,0.05,0.4,0.0,0.05,0.8,0.0,0.06,0.8,0.5,1.0,0.03,0.03
