ros_time_sec,mode,armed,connected,aruco_fresh,aruco_age_sec,aruco_x,aruco_y,aruco_z,aruco_yaw_rad,local_pose_fresh,local_pose_age_sec,local_x,local_y,local_z,local_yaw_rad,setpoint_fresh,setpoint_age_sec,sp_frame,sp_type_mask,sp_vx,sp_vy,sp_vz,sp_yaw_rate,target_x,target_y,target_yaw,target_z,kp_xy,ki_xy,kd_xy,kp_x,ki_x,kd_x,kp_y,ki_y,kd_y,kp_yaw,ki_yaw,kd_yaw,kp_z,ki_z,kd_z,vxy_limit,vz_limit,wz_limit,velocity_deadband,yaw_rate_deadband
1773541291.7925565,,-1,-1,0,1000000000.0,nan,nan,nan,nan,0,1000000000.0,nan,nan,nan,nan,0,1000000000.0,-1,-1,nan,nan,nan,nan,0.0,0.0,0.0,2.5,0.5,0.0,0.08,0.6,0.02,0.02,0.6,0.02,0.02,0.6,0.02,0.03,0.6,0.0,0.03,0.8,0.5,1.0,0.03,0.03
1773541291.8248851,POSCTL,0,1,1,0.006527682,-0.029541011080061533,0.005426829839515544,0.15701148865320436,-0.04437278650410193,1,0.006214431,-2.1506924629211426,-0.7366835474967957,-8.887921333312988,0.0,0,1000000000.0,-1,-1,nan,nan,nan,nan,0.0,0.0,0.0,2.5,0.5,0.0,0.08,0.6,0.02,0.02,0.6,0.02,0.02,0.6,0.02,0.03,0.6,0.0,0.03,0.8,0.5,1.0,0.03,0.03
1773541291.8523579,POSCTL,0,1,1,0.001929437,-0.02945526597549814,0.005485729115090895,0.1566297526856693,-0.04793212162924659,1,0.001327284,-2.1538407802581787,-0.7399228811264038,-8.88371467590332,0.0,0,1000000000.0,-1,-1,nan,nan,nan,nan,0.0,0.0,0.0,2.5,0.5,0.0,0.08,0.6,0.02,0.02,0.6,0.02,0.02,0.6,0.02,0.03,0.6,0.0,0.03,0.8,0.5,1.0,0.03,0.03
1773541291.8851707,POSCTL,0,1,1,0.004214106,-0.02959709481358857,0.005667241621901608,0.15762264069435783,-0.04933153174388603,1,0.015329257,-2.1542396545410156,-0.7403010725975037,-8.883092880249023,0.0,0,1000000000.0,-1,-1,nan,nan,nan,nan,0.0,0.0,0.0,2.5,0.5,0.0,0.08,0.6,0.02,0.02,0.6,0.02,0.02,0.6,0.02,0.03,0.6,0.0,0.03,0.8,0.5,1.0,0.03,0.03
1773541291.9199972,POSCTL,0,1,1,0.039225778,-0.02959709481358857,0.005667241621901608,0.15762264069435783,-0.04933153174388603,1,0.016574876,-2.154792308807373,-0.7408528327941895,-8.882290840148926,0.0,0,1000000000.0,-1,-1,nan,nan,nan,nan,0.0,0.0,0.0,2.5,0.5,0.0,0.08,0.6,0.02,0.02,0.6,0.02,0.02,0.6,0.02,0.03,0.6,0.0,0.03,0.8,0.5,1.0,0.03,0.03
1773541291.9536629,POSCTL,0,1,1,0.017202843,-0.02945526597549814,0.005485729115090895,0.1566297526856693,-0.04793212162924659,1,0.014377223,-2.1551663875579834,-0.7412700653076172,-8.881328582763672,0.0,0,1000000000.0,-1,-1,nan,nan,nan,nan,0.0,0.0,0.0,2.5,0.5,0.0,0.08,0.6,0.02,0.02,0.6,0.02,0.02,0.6,0.02,0.03,0.6,0.0,0.03,0.8,0.5,1.0,0.03,0.03
1773541291.985964,POSCTL,0,1,1,0.007138039,-0.029420081850034894,0.0056711072621737305,0.15702992877255414,-0.051354317614399334,1,0.046862305,-2.1551663875579834,-0.7412700653076172,-8.881328582763672,0.0,0,1000000000.0,-1,-1,nan,nan,nan,nan,0.0,0.0,0.0,2.5,0.5,0.0,0.08,0.6,0.02,0.02,0.6,0.02,0.02,0.6,0.02,0.03,0.6,0.0,0.03,0.8,0.5,1.0,0.03,0.03
1773541292.0204282,POSCTL,0,1,1,0.006413279,-0.02945526597549814,0.005485729115090895,0.1566297526856693,-0.04793212162924659,1,0.01873581,-2.1557626724243164,-0.7420593500137329,-8.879526138305664,0.0,0,1000000000.0,-1,-1,nan,nan,nan,nan,0.0,0.0,0.0,2.5,0.5,0.0,0.08,0.6,0.02,0.02,0.6,0.02,0.02,0.6,0.02,0.03,0.6,0.0,0.03,0.8,0.5,1.0,0.03,0.03
1773541292.0527182,POSCTL,0,1,1,0.013958199,-0.02959709481358857,0.005667241621901608,0.15762264069435783,-0.04933153174388603,1,0.051279842,-2.1557626724243164,-0.7420593500137329,-8.879526138305664,0.0,0,1000000000.0,-1,-1,nan,nan,nan,nan,0.0,0.0,0.0,2.5,0.5,0.0,0.08,0.6,0.02,0.02,0.6,0.02,0.02,0.6,0.02,0.03,0.6,0.0,0.03,0.8,0.5,1.0,0.03,0.03
1773541292.0857272,POSCTL,0,1,1,0.006183025,-0.029506940950463773,0.005717640580217491,0.157211171680501,-0.05275192633483904,1,0.013529875,-2.1570167541503906,-0.7435808181762695,-8.877391815185547,0.0,0,1000000000.0,-1,-1,nan,nan,nan,nan,0.0,0.0,0.0,2.5,0.5,0.0,0.08,0.6,0.02,0.02,0.6,0.02,0.02,0.6,0.02,0.03,0.6,0.0,0.03,0.8,0.5,1.0,0.03,0.03
