ros_time_sec,mode,armed,connected,aruco_fresh,aruco_age_sec,aruco_x,aruco_y,aruco_z,aruco_yaw_rad,local_pose_fresh,local_pose_age_sec,local_x,local_y,local_z,local_yaw_rad,setpoint_fresh,setpoint_age_sec,sp_frame,sp_type_mask,sp_vx,sp_vy,sp_vz,sp_yaw_rate,target_x,target_y,target_yaw,target_z,kp_xy,ki_xy,kd_xy,kp_x,ki_x,kd_x,kp_y,ki_y,kd_y,kp_yaw,ki_yaw,kd_yaw,kp_z,ki_z,kd_z,vxy_limit,vz_limit,wz_limit,velocity_deadband,yaw_rate_deadband
1773539989.2017217,,-1,-1,0,1000000000.0,nan,nan,nan,nan,0,1000000000.0,nan,nan,nan,nan,0,1000000000.0,-1,-1,nan,nan,nan,nan,0.0,0.0,0.0,2.5,0.5,0.0,0.08,0.6,0.0,0.05,0.6,0.0,0.05,0.6,0.0,0.05,0.8,0.0,0.06,0.8,0.5,1.0,0.03,0.03
1773539989.217502,,-1,-1,0,1000000000.0,nan,nan,nan,nan,1,0.007853344,-3.1360533237457275,-2.164832592010498,-5.981617450714111,0.0,1,0.011930257,8,1479,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.5,0.0,0.08,0.6,0.0,0.05,0.6,0.0,0.05,0.6,0.0,0.05,0.8,0.0,0.06,0.8,0.5,1.0,0.03,0.03
1773539989.2509913,,-1,-1,0,1000000000.0,nan,nan,nan,nan,1,0.016498731,-3.135950803756714,-2.1650705337524414,-5.979819297790527,0.0,1,0.022469489,8,1479,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.5,0.0,0.08,0.6,0.0,0.05,0.6,0.0,0.05,0.6,0.0,0.05,0.8,0.0,0.06,0.8,0.5,1.0,0.03,0.03
1773539989.2842703,,-1,-1,0,1000000000.0,nan,nan,nan,nan,1,0.016173529,-3.1359002590179443,-2.16532564163208,-5.978195667266846,0.0,1,0.022870446,8,1479,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.5,0.0,0.08,0.6,0.0,0.05,0.6,0.0,0.05,0.6,0.0,0.05,0.8,0.0,0.06,0.8,0.5,1.0,0.03,0.03
1773539989.3176076,,-1,-1,0,1000000000.0,nan,nan,nan,nan,1,0.019203489,-3.1357944011688232,-2.165609121322632,-5.976522922515869,0.0,1,0.023083617,8,1479,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.5,0.0,0.08,0.6,0.0,0.05,0.6,0.0,0.05,0.6,0.0,0.05,0.8,0.0,0.06,0.8,0.5,1.0,0.03,0.03
1773539989.3509762,,-1,-1,0,1000000000.0,nan,nan,nan,nan,1,0.016889689,-3.1355092525482178,-2.1659555435180664,-5.974748611450195,0.0,1,0.022081347,8,1479,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.5,0.0,0.08,0.6,0.0,0.05,0.6,0.0,0.05,0.6,0.0,0.05,0.8,0.0,0.06,0.8,0.5,1.0,0.03,0.03
1773539989.3842778,,-1,-1,0,1000000000.0,nan,nan,nan,nan,1,0.01546924,-3.1352884769439697,-2.1662895679473877,-5.973170757293701,0.0,1,0.022802671,8,1479,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.5,0.0,0.08,0.6,0.0,0.05,0.6,0.0,0.05,0.6,0.0,0.05,0.8,0.0,0.06,0.8,0.5,1.0,0.03,0.03
1773539989.4176593,,-1,-1,0,1000000000.0,nan,nan,nan,nan,1,0.016948926,-3.1350255012512207,-2.1663968563079834,-5.971458911895752,0.0,1,0.023203591,8,1479,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.5,0.0,0.08,0.6,0.0,0.05,0.6,0.0,0.05,0.6,0.0,0.05,0.8,0.0,0.06,0.8,0.5,1.0,0.03,0.03
1773539989.4509833,,-1,-1,0,1000000000.0,nan,nan,nan,nan,1,0.017771374,-3.1348509788513184,-2.1664037704467773,-5.970341205596924,0.0,1,0.022528596,8,1479,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.5,0.0,0.08,0.6,0.0,0.05,0.6,0.0,0.05,0.6,0.0,0.05,0.8,0.0,0.06,0.8,0.5,1.0,0.03,0.03
1773539989.48428,,-1,-1,0,1000000000.0,nan,nan,nan,nan,1,0.017997509,-3.1346585750579834,-2.166445732116699,-5.968687534332275,0.0,1,0.023063804,8,1479,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.5,0.0,0.08,0.6,0.0,0.05,0.6,0.0,0.05,0.6,0.0,0.05,0.8,0.0,0.06,0.8,0.5,1.0,0.03,0.03
