ros_time_sec,mode,armed,connected,aruco_fresh,aruco_age_sec,aruco_x,aruco_y,aruco_z,aruco_yaw_rad,local_pose_fresh,local_pose_age_sec,local_x,local_y,local_z,local_yaw_rad,setpoint_fresh,setpoint_age_sec,sp_frame,sp_type_mask,sp_vx,sp_vy,sp_vz,sp_yaw_rate,target_x,target_y,target_yaw,target_z,kp_xy,ki_xy,kd_xy,kp_x,ki_x,kd_x,kp_y,ki_y,kd_y,kp_yaw,ki_yaw,kd_yaw,kp_z,ki_z,kd_z,vxy_limit,vz_limit,wz_limit,velocity_deadband,yaw_rate_deadband
1773641073.7435856,,-1,-1,0,1000000000.0,nan,nan,nan,nan,0,1000000000.0,nan,nan,nan,nan,0,1000000000.0,-1,-1,nan,nan,nan,nan,0.0,0.0,0.0,2.5,0.6,0.0,0.08,0.6,0.0,0.02,0.6,0.0,0.02,0.6,0.0,0.02,0.6,0.0,0.06,1.0,0.5,1.0,0.03,0.03
1773641073.7756712,,-1,-1,1,0.007411759,-0.0034796928098654234,0.0073339535640332305,0.15405758166665826,-0.05886570597636725,0,1000000000.0,nan,nan,nan,nan,1,0.005606345,8,1479,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.6,0.0,0.08,0.6,0.0,0.02,0.6,0.0,0.02,0.6,0.0,0.02,0.6,0.0,0.06,1.0,0.5,1.0,0.03,0.03
1773641073.8071134,,-1,-1,1,0.020939415,-0.003709313056279561,0.0072538165805169676,0.15390570792601765,-0.0514125824143339,0,1000000000.0,nan,nan,nan,nan,1,0.002842036,8,1479,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.6,0.0,0.08,0.6,0.0,0.02,0.6,0.0,0.02,0.6,0.0,0.02,0.6,0.0,0.06,1.0,0.5,1.0,0.03,0.03
1773641073.8396661,,-1,-1,1,0.003632103,-0.0036663866571602795,0.007187265034853306,0.15356436155144668,-0.052875639860150134,0,1000000000.0,nan,nan,nan,nan,1,0.002403325,8,1479,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.6,0.0,0.08,0.6,0.0,0.02,0.6,0.0,0.02,0.6,0.0,0.02,0.6,0.0,0.06,1.0,0.5,1.0,0.03,0.03
1773641073.8733363,,-1,-1,1,0.010528014,-0.00357303426906055,0.007271866164144306,0.15419330129472664,-0.06089961289199921,0,1000000000.0,nan,nan,nan,nan,1,0.001111222,8,1479,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.6,0.0,0.08,0.6,0.0,0.02,0.6,0.0,0.02,0.6,0.0,0.02,0.6,0.0,0.06,1.0,0.5,1.0,0.03,0.03
1773641073.9055734,,-1,-1,1,0.0129655,-0.0037718539248246565,0.007163859252669755,0.1543590217011423,-0.05518950805773553,0,1000000000.0,nan,nan,nan,nan,1,0.001589225,8,1479,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.6,0.0,0.08,0.6,0.0,0.02,0.6,0.0,0.02,0.6,0.0,0.02,0.6,0.0,0.06,1.0,0.5,1.0,0.03,0.03
1773641073.9392424,,-1,-1,1,0.018867652,-0.003584688028192287,0.007441994792532403,0.1543202649303616,-0.06734773224424016,0,1000000000.0,nan,nan,nan,nan,1,0.035444499,8,1479,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.6,0.0,0.08,0.6,0.0,0.02,0.6,0.0,0.02,0.6,0.0,0.02,0.6,0.0,0.06,1.0,0.5,1.0,0.03,0.03
1773641073.9769282,,-1,-1,1,0.024449722,-0.0035042846848460985,0.00717007162000788,0.15375731177052446,-0.05627178495942565,0,1000000000.0,nan,nan,nan,nan,1,0.007413277,8,1479,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.6,0.0,0.08,0.6,0.0,0.02,0.6,0.0,0.02,0.6,0.0,0.02,0.6,0.0,0.06,1.0,0.5,1.0,0.03,0.03
1773641074.008563,,-1,-1,1,0.014839647,-0.0035042846848460985,0.00717007162000788,0.15375731177052446,-0.05627178495942565,0,1000000000.0,nan,nan,nan,nan,1,0.038934385,8,1479,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.6,0.0,0.08,0.6,0.0,0.02,0.6,0.0,0.02,0.6,0.0,0.02,0.6,0.0,0.06,1.0,0.5,1.0,0.03,0.03
1773641074.0492172,,-1,-1,1,0.012948784,-0.0037542693901513663,0.007196139470027911,0.15385886107702848,-0.054840254343896375,0,1000000000.0,nan,nan,nan,nan,1,0.027472352,8,1479,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.6,0.0,0.08,0.6,0.0,0.02,0.6,0.0,0.02,0.6,0.0,0.02,0.6,0.0,0.06,1.0,0.5,1.0,0.03,0.03
